0,1,2
1.0,0.0,9.99999999999998
2.0,9.99999999999998,21.543999999999997
3.0,21.543999999999997,46.415999999999976
4.0,46.415999999999976,100.0
5.0,100.0,215.44000000000028
6.0,215.44000000000028,464.15999999999946
7.0,464.15999999999946,1000.0
8.0,1000.0,2154.4000000000037
9.0,2154.4000000000037,4641.600000000007
10.0,4641.600000000007,10000.0
11.0,10000.0,21543.99999999998
12.0,21543.99999999998,46416.000000000095
13.0,46416.000000000095,100000.0
14.0,100000.0,215439.99999999962
15.0,215439.99999999962,464159.9999999992
16.0,464159.9999999992,1000000.0
17.0,1000000.0,2154400.0
18.0,2154400.0,4641600.0
19.0,4641600.0,10000000.0
20.0,10000000.0,21544000.0
21.0,21544000.0,46416000.0
22.0,46416000.0,100000000.0
23.0,100000000.0,215440000.0
24.0,215440000.0,464160000.0
25.0,464160000.0,1000000000.0
26.0,1000000000.0,2154400000.0
27.0,2154400000.0,4641600000.0
28.0,4641600000.0,10000000000.0
29.0,10000000000.0,21544000000.0
30.0,21544000000.0,46416000000.0
31.0,46416000000.0,100000000000.0
32.0,100000000000.0,215440000000.0
33.0,215440000000.0,464160000000.0
34.0,464160000000.0,1000000000000.0
35.0,1000000000000.0,2154400000000.0
36.0,2154400000000.0,4641600000000.0
37.0,4641600000000.0,10000000000000.0
38.0,10000000000000.0,21544000000000.0
39.0,21544000000000.0,46416000000000.0
40.0,46416000000000.0,100000000000000.0
